Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe & Central Asia (excluding high income),ECA,16.62192844,16.6268135,16.63088577,16.64274382,16.66324922,16.6875787,16.64648444,16.69193702,16.75893499,16.83817358,16.93101882,17.02693844,17.12506665,17.24007208,17.36557675,17.48922882,17.60645861,17.70295781,17.77408043,17.84178647,17.8988477,17.93120575,
Europe & Central Asia,ECS,31.55296684,31.59575517,31.65380622,31.73467699,31.82866708,31.92541792,31.91190962,32.02649721,32.15905776,32.28516768,32.40676976,32.48192688,32.60867605,32.76289422,32.92974143,33.08937966,33.24386447,33.37158396,33.47741631,33.5649771,33.64012113,33.65137851,
Ecuador,ECU,50.83953535,51.72137623,52.62767354,53.55606378,54.49586487,55.44375906,56.40626913,57.38377758,58.37009583,59.36046867,60.35426397,61.35339024,62.344512,63.30725157,64.25347882,65.21139475,66.19256321,67.22879691,68.51212756,69.83306491,70.81895233,71.66104445,
"Egypt, Arab Rep.",EGY,71.69759506,73.18726305,74.73379778,76.31053493,77.87676629,79.4367472,80.99821186,82.59456025,84.22802049,85.89187202,87.65122608,89.60776935,91.65741725,93.80470139,96.02925712,98.17047466,100.2401226,102.2546446,104.214943,106.1014325,107.9563353,109.7615932,
Euro area,EMU,119.9264921,120.4122757,120.9800923,121.618695,122.3067628,122.9464268,123.5505519,124.190364,124.8237766,125.2335543,125.4686019,125.2040903,125.4660859,125.8278957,126.2604806,126.6714565,127.024005,127.3330736,127.6361606,127.7819439,127.9538718,128.0031589,
Eritrea,ERI,23.69188119,24.37551485,25.2220198,26.27118812,22.83914736,23.3978465,23.80162856,24.17669169,24.82935092,25.47202769,26.0002835,26.48936147,26.86272754,27.23161224,27.45811098,27.58311825,27.79449641,28.05730904,28.45588908,28.89661565,29.37742603,29.90984141,
Spain,ESP,81.29832465,81.94337639,83.02251924,84.50881393,85.98480508,87.4654972,88.97614934,90.61490052,92.12932237,92.97506517,93.15193096,93.50783588,93.50683713,93.2009456,92.92273645,92.95268592,93.04926296,93.27091015,93.66979208,94.3508089,94.81538375,94.88212075,
Estonia,EST,32.95553197,32.7462845,32.53951404,32.33592828,32.14319415,31.95977825,31.77188016,31.62727058,31.5425808,31.48183534,31.41012031,31.31490918,31.20301958,30.31969174,30.24028065,30.26011042,30.2689211,30.816,30.9234386,31.03854971,31.09992982,31.13291228,
Ethiopia,ETH,67.031867,69.018932,71.073215,73.168838,66.72089877,68.64252708,70.60970802,72.6510088,74.74700275,76.87086147,79.07149377,81.35739675,83.69022203,86.02407456,88.3858063,90.80046232,93.29886502,95.87318208,98.46999476,101.1195648,103.8400628,106.5799119,
European Union,EUU,107.4398799,107.5962093,107.8756107,108.2472547,108.6611256,109.0546789,109.4268787,109.7961384,110.1641506,110.3994812,110.5184851,110.3251372,110.4837409,110.7145983,110.9703722,111.2300432,111.4556289,111.6508438,111.8465587,111.9414092,112.0225221,111.8905668,
Fragile and conflict affected situations,FCS,30.3491999,31.03217997,31.79529674,32.59854132,33.14635845,33.95265693,34.77607814,35.59738178,36.45614331,37.37095237,38.30178986,39.23953204,39.96161204,40.93986214,41.89862606,42.84784729,43.81824868,44.80369303,45.79569422,46.82547221,47.90012753,48.97816765,
Finland,FIN,16.99402147,17.03275879,17.07409304,17.11485604,17.16462129,17.22346761,17.31698399,17.39195633,17.48403751,17.56785456,17.64841066,17.73099477,17.81556155,17.89783145,17.97200303,18.03011089,18.08200783,18.12389445,18.14795012,18.16736091,18.19287688,18.23016591,
Fiji,FJI,45.56699507,46.04926108,46.5183908,46.97898194,47.43809524,47.88850575,48.33513957,48.74920635,49.08215654,49.33678161,49.54400657,49.7183908,49.86639299,49.99742748,50.11275315,50.20251779,50.26661193,50.30207991,50.30082102,50.27175698,50.37887247,50.60810071,
France,FRA,111.2583191,112.0728386,112.8925483,113.6351888,114.5363143,115.4005793,116.2039039,116.9225067,117.576245,118.1810825,118.7649414,119.3395993,119.9185473,120.5395767,121.1053224,121.5367021,121.857823,122.2119706,122.6508802,123.0702941,123.4046994,123.7307385,
Faroe Islands,FRO,32.70773639,33.12679083,33.53366762,33.94842407,34.3760745,34.59240688,34.60816619,34.64255014,34.67836676,34.69126074,34.67765043,34.66045845,34.66475645,34.68338109,34.71704871,34.96848138,35.45845272,35.98137536,36.50071633,37.02077364,38.37115666,38.60510949,
"Micronesia, Fed. Sts.",FSM,159.5842857,159.9257143,159.9885714,159.7214286,159.1971429,158.4857143,157.5728571,156.4742857,155.2914286,154.0971429,153.6971429,154.1242857,154.6171429,155.1557143,155.7485714,156.3742857,157.0357143,157.7571429,158.47,159.1128571,160.1514286,161.6157143,
Gabon,GAB,4.940175418,5.070788217,5.207032251,5.349470253,5.49970893,5.659770249,5.831233749,6.014569022,6.209407382,6.417285675,6.64068382,6.8789537,7.128129002,7.382411612,7.633232429,7.872538518,8.096425661,8.30603097,8.507051655,8.704098265,8.897322156,9.085958784,
United Kingdom,GBR,243.4279089,244.366854,245.4035423,246.5489067,247.9556277,249.6639772,251.5058901,253.4719258,255.4747034,257.4144174,259.4401893,261.4756748,263.3001901,265.0695366,267.0288844,269.1531393,271.2007316,273.049473,274.7089819,276.2630802,277.2753854,277.0483198,
Georgia,GEO,71.33088981,70.23291578,69.60556702,69.13705868,68.71024179,68.27511459,67.88808216,67.53486826,67.33001505,66.73464782,66.24960635,65.72030162,65.23800693,65.04195388,65.07250079,65.17505861,65.21405578,65.22278596,65.19733021,65.08556982,65.13027048,64.88348088,
Ghana,GHA,86.42657115,88.75616155,91.22934869,93.7396238,96.27513404,98.87031291,101.5143975,104.1940758,106.9090577,109.6543992,112.3965852,115.1706997,118.0397381,120.9703656,123.9182473,126.8829173,129.886187,132.8217544,135.671271,138.5351587,141.4317967,144.3000839,
Gibraltar,GIB,2774.1,2772.1,2789.2,2830.1,2871.6,2915.5,2958.7,2999.6,3039.8,3081.9,3126.2,3170.1,3216,3241.1,3245.2,3252,3256.5,3260.2,3264.8,3268.5,3270.9,3266.9,
Guinea,GIN,33.92872782,34.37130474,34.90879863,35.70020348,36.46849666,37.19727332,37.97259075,38.85349992,39.80052499,40.78350562,41.79850236,42.84434315,43.90644636,44.99198274,46.12308725,47.31400781,48.55520511,49.81600602,51.09418851,52.40737018,53.74065196,55.07042976,
"Gambia, The",GMB,142.0493083,146.1906126,150.4172925,154.7684783,159.3107708,164.0679842,169.1001976,174.3955534,179.8954545,185.5848814,191.430336,197.4517787,203.6575099,209.9672925,216.3062253,222.6416008,228.9729249,235.294664,241.5924901,247.9133399,254.347332,260.8612648,
Guinea-Bissau,GNB,43.77130156,44.71479374,45.72112376,46.78709104,47.90216927,49.06518492,50.28773115,51.58506401,52.93140114,54.30995733,55.73328592,57.21966572,58.77371977,60.3752845,61.99534139,63.61731863,65.2401138,66.85014225,68.45501422,70.07315078,71.68662873,73.28310811,
Equatorial Guinea,GNQ,24.4198574,25.64242424,26.88467023,28.15262032,29.4600713,30.82802139,32.27871658,33.82581105,35.4713369,37.20805704,39.02046346,40.80527629,42.55386809,44.34727273,46.174082,48.02042781,49.87262032,51.71814617,53.55048128,55.36652406,56.9001426,58.26973262,
Greece,GRC,83.83093871,84.2678976,84.5773623,84.77944143,84.98945694,85.23905353,85.49543832,85.71352211,85.94135764,86.16770365,86.27882855,86.1512723,85.68666408,85.06757952,84.50281614,83.94788984,83.5994647,83.43428239,83.26518231,83.17751746,82.99921645,82.55408068,
Grenada,GRD,315.9764706,317.4588235,318.3264706,319.8235294,322.1058824,324.2764706,326.4352941,328.6029412,330.8176471,333.0852941,335.4088235,337.9941176,340.9176471,343.9558824,346.9764706,349.9411765,352.8411765,355.65,358.3470588,360.9529412,363.7147059,366.5,
